Threads,Time,Uskor,Efficiency
1,2.256,1,1
2,1.272,1.77358490566038,0.886792452830189
3,0.849,2.65724381625442,0.885747938751472
4,0.99,2.27878787878788,0.56969696969697
5,0.701,3.21825962910128,0.643651925820257
6,0.574,3.93031358885017,0.655052264808362
7,0.498,4.53012048192771,0.647160068846816
8,0.485,4.65154639175258,0.581443298969072
9,0.48,4.7,0.522222222222222
10,0.482,4.6804979253112,0.46804979253112
11,0.458,4.92576419213974,0.447796744739976
12,0.441,5.1156462585034,0.426303854875283
